Performance Report:
Version:	v2011.4_0.8
Host:		amy-dev1
Date:		Wed Nov 7 14:07:22 
==========================================================================================================================================================================================================================================================
Def Size	CO.OPEN        CO.SHORT       DIFF.OPEN      DIFF.SHORT     M1.OPEN        M1.SHORT       M12.OPEN       M12.SHORT         
0.045      233/67/725     168/15/956     230/75/775     71/14/559      146/14/336     84/84/204      73/73/560      176/26/56 04      
0.046      269/62/116     121/21/773     181/41/297     14/14/252      23/23/718      58/12/814      463/96/63      82/82/992         
0.057      267/38/963     12/12/509      2/2/234        61/61/834      -              248/88/16      201/21/579     14/14/460 55      
0.061      57/35/15       179/50/361     213/65/105     218/83/849     188/21/631     -              30/30/698      216/14/57 0       
0.083      68/37/741      253/30/459     66/46/949      508/78/589     28/28/365      7/7/269        347/29/488     201/83/63 97      
0.12       68/59/169      146/79/154     271/60/232     108/21/986     277/20/634     160/90/125     74/74/254      457/78/51 90      
0.24       427/61/46      340/28/471     37/37/404      103/5/229      113/85/515     82/82/534      140/66/142     377/3/736 91    

0.632      294/71/69      -              53/53/476      274/19/556     68/68/27       399/72/769     117/38/243     318/56/87 2       
0.98       430/57/8       294/19/77      -              123/19/73      319/78/310     224/16/333     402/7/496      274/17/83 07      
1.12       348/22/882     88/88/205      296/15/662     15/15/511      173/55/957     414/41/206     285/77/801     101/27/96         
